"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59"
"men_Pt116_RPLCneg",10.049,2.5022,-4.5105,-0.72528,-1.8955,-3.5636,-0.94955,-2.4022,1.2129,-1.8503,4.7286,-3.0683,-3.5463,2.2624,-1.6362,0.18852,-0.2676,-1.2024,-4.4905,-3.3914,4.4715,0.54145,-2.0165,-1.0563,-1.9979,-2.1859,-1.8425,2.4069,2.4578,2.0591,0.91964,-0.44649,-1.2235,1.4356,1.2292,-0.926,1.3661,1.2977,3.1818,0.21494,3.4092,0.50339,1.1538,1.5552,0.16447,-3.9444,1.744,-1.6454,-0.1533,-0.98323,0.70049,1.6444,1.3886,1.0837,2.9361,-6.5644,-4.7521,-2.4287,2.7305e-15
"woman_Pt003_RPLCneg",0.20957,5.7524,-8.1088,-0.054074,1.0194,-1.6673,-0.18619,1.1548,-6.3153,-4.8631,4.0502,0.71774,0.04231,0.34962,-0.16546,-0.3659,1.6849,-4.0121,-0.75563,1.7806,-0.23525,-0.45257,1.5164,1.4778,-1.2465,-1.8964,-0.012738,3.5256,0.89266,-1.1764,-2.3382,0.19414,0.49268,-1.3565,3.1948,-1.278,-2.395,1.8324,2.2979,-1.408,-2.182,-1.3467,0.17327,1.1149,-2.0247,0.78845,3.7748,0.7575,0.5128,1.011,-2.4685,5.6092,0.44877,1.8517,3.3082,6.0863,-0.53064,-3.6,6.448e-15
"woman_Pt005_RPLCneg",15.069,7.6173,-5.288,15.511,-9.099,-0.59951,3.1845,-3.9984,3.5778,-2.6386,4.1802,-6.2635,-2.6286,3.17,-1.9972,-1.4626,-8.1152,-1.1058,6.61,-0.019839,-3.3994,-1.0256,3.4317,2.532,3.1542,-3.5609,1.4157,-2.1707,-2.8636,-1.0402,1.2449,-1.1385,0.78373,-2.2851,-2.7455,1.9957,-3.2082,-0.89118,-1.4515,-1.8191,-1.951,0.42949,-0.85262,1.5257,-0.423,-0.8692,2.659,0.77386,6.5474,0.14242,-2.2392,-0.27425,-3.7028,-2.2738,0.63297,-1.7782,-0.78102,0.44411,1.9301e-14
"woman_Pt019_RPLCneg",-37.788,12.341,4.9551,-0.98235,-5.6411,11.302,-9.4061,0.3267,3.5826,-0.6366,-1.1805,3.3556,5.0984,-5.4602,0.095691,-8.049,-9.0643,-9.0621,-5.5043,-0.87471,0.60782,-5.5468,2.0674,-2.1035,-2.7523,-2.8909,0.42097,-3.6451,-1.1687,-1.4613,-3.6393,3.0375,2.5413,3.4749,1.5129,-2.9391,-1.1066,-2.6573,0.43553,-0.6539,-0.40831,-0.89944,2.9806,0.71185,0.6099,-0.66102,-1.6478,0.26478,0.89233,-1.0091,1.1753,-0.38715,-0.36674,0.30027,0.73597,-0.39584,0.3608,0.31955,3.6221e-15
"woman_Pt022_RPLCneg",-14.603,9.5499,12.606,4.8417,0.41979,0.6452,-4.9388,1.3081,3.661,-0.13416,-0.16366,-4.7587,-3.4221,1.6239,2.5258,1.4497,1.7486,-0.57049,-0.065879,-1.9699,0.92741,-0.35569,-0.086874,0.17441,-4.9512,0.6962,-0.40019,1.1919,-0.30133,-4.3492,-1.176,0.88355,-10.156,-4.4091,-0.043033,-0.48073,3.2575,0.18383,-1.0381,0.22906,-6.5333,3.706,-0.76298,3.1647,1.7325,0.87567,-1.5014,-0.32795,3.0854,-0.3941,-0.51094,-0.49082,3.2593,2.8405,-1.5344,-0.36182,0.17219,-0.10698,-1.5182e-14
"woman_Pt032_RPLCneg",-0.57793,3.5414,1.3469,4.2487,1.4977,-0.13169,4.7582,-0.18356,-10.375,-6.2696,6.3275,2.1445,0.44041,-0.9312,3.3171,-3.4823,0.017329,1.2278,0.12622,4.0753,-5.6395,2.7128,-0.79172,-0.14565,-3.1313,3.953,-1.313,2.3034,1.914,0.3921,-2.1942,3.6529,-3.7906,-1.2537,3.3991,0.94887,-5.2835,2.6178,1.2409,-4.2199,-0.94231,-0.87093,1.1288,1.7187,-0.37215,-2.1857,-2.5918,4.342,-3.3655,-0.35513,-0.85893,-2.9218,-1.8835,-0.92927,0.03691,-1.2608,-1.8044,2.9692,5.2076e-15
"woman_Pt036_RPLCneg",-11.89,-8.5944,-14.539,2.6639,21.904,-6.1378,-4.3137,8.8219,0.53091,7.6135,-2.02,-11.624,4.0135,2.7821,5.9709,0.69345,-5.3558,1.4433,-2.8354,6.5087,-1.6827,2.7316,7.8973,6.1387,-1.8604,3.0986,-2.1962,-2.7073,-1.2193,1.4666,-1.2503,-2.0752,1.457,1.9402,1.2824,0.011235,2.2398,0.50381,0.50343,-1.1974,1.5695,-0.51327,-1.3134,1.9202,0.20054,-0.58489,-1.0382,-0.43478,0.81167,0.92825,0.70083,-0.23677,-0.0004436,-0.25295,0.4494,-0.15204,-0.24917,-0.53259,-1.7486e-15
"woman_Pt038_RPLCneg",-4.6827,6.1163,-12.125,-4.5146,-2.5575,1.0466,-5.5848,-1.6336,-12.031,-10.039,-4.3331,-0.98522,2.238,-6.1045,-0.54734,-2.1704,-1.2742,5.1614,-0.4668,4.0898,2.4901,2.6426,1.5029,-3.6073,-2.2207,-0.23403,-0.48628,-1.8746,4.5318,5.8519,-3.2589,-1.4952,-2.3841,2.2994,-5.4909,-1.2728,-3.8281,0.51694,-1.1714,1.0794,-0.93948,4.737,-4.4712,-2.6405,-0.53712,1.8574,1.5635,-1.2424,1.4919,0.96509,2.0062,0.36073,-0.24603,0.3961,0.025996,-1.2163,1.2889,-0.68142,-1.7104e-15
"woman_Pt044_RPLCneg",23.289,-0.32202,1.7129,-12.387,-2.3233,0.57104,6.7592,11.67,0.67174,-6.2005,-0.23661,-2.1077,7.7674,7.5649,1.7068,-7.0087,5.141,0.070727,3.4867,9.2301,-0.95885,-2.1891,-3.8481,-3.4015,2.2918,-4.0207,-3.0942,-5.2677,0.89597,3.5027,3.8173,2.6965,-0.089386,-2.5735,1.7918,-3.8796,2.9633,-3.5758,-0.82358,0.10906,-1.5301,-0.41667,1.7898,0.3017,0.33016,1.3744,-1.8117,-0.91947,0.79811,0.51665,-0.20112,0.23576,0.34641,0.083007,0.62556,-0.43356,-0.68399,-0.4122,-4.6525e-15
"woman_Pt055_RPLCneg",-15.185,-2.7648,12.469,-0.56512,7.0249,-10.537,8.767,2.4792,-6.6431,2.6231,-3.4724,12.161,-5.382,6.5088,-2.2712,-0.69058,-2.1789,-1.4541,0.99213,0.71823,0.040163,1.6941,2.3763,3.3817,2.4487,3.3285,5.67,-2.8838,-1.0201,-3.5507,0.22172,2.0529,-1.1849,-2.5722,-4.1711,-6.1033,-2.9423,-1.1977,4.7445,0.55317,0.34515,1.7864,1.4725,-0.19527,1.1941,-0.22116,0.27794,-3.7935,-0.099859,0.41016,1.962,0.30885,-0.18611,-0.874,0.65058,-0.50906,-0.18137,-0.17762,-2.1254e-14
