"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59"
"woman_Pt123_RPLCneg",-2.2155,4.3059,-13.258,-1.1171,-2.592,-0.18732,5.4719,-0.55435,3.7907,0.66751,-0.20296,-1.3886,0.47912,0.5295,-7.919,-0.42462,-0.20497,-2.8859,-2.0482,1.7646,-2.6806,3.3118,0.018949,-0.23405,-0.93622,-2.4522,1.0684,0.019907,0.65155,0.47586,-1.298,-3.6815,1.3664,-0.20161,-0.29397,-0.62132,-1.1887,-2.4598,1.1385,2.2547,-1.0894,-2.7796,-4.2445,1.985,-1.4028,0.6509,0.53962,-1.9301,-1.0762,-2.9141,2.0412,0.83744,1.276,2.3104,-4.5295,2.1448,-4.9855,4.2662,1.5821e-15
"woman_Pt164_RPLCneg",-13.925,-7.9323,-22.231,-5.2542,-8.4969,0.041325,4.7087,4.2207,3.0355,2.0998,-9.1106,0.68898,-0.029012,7.3776,-1.4383,3.4165,8.4994,-4.9388,5.2302,-8.7316,-5.2788,1.4057,5.0481,-2.6857,-0.63501,1.7427,-6.4672,0.68996,-5.7647,3.6092,-2.6931,2.6611,-0.86939,3.9715,-2.3044,0.41936,-2.0496,0.87274,-0.223,-1.5879,-0.30263,1.158,1.2306,0.024607,0.10193,-0.030326,-1.5298,1.0363,0.0064213,-0.38007,0.79792,0.99298,-0.034528,0.12696,0.21615,-0.35843,0.098871,-0.66579,-1.5824e-14
"woman_Pt170_RPLCneg",4.5129,7.5829,-16.137,-13.791,2.6122,8.3238,-4.4874,1.1111,-0.26198,-5.1744,-1.712,5.5096,2.4113,4.5885,4.4039,4.5986,-0.6596,-5.9291,3.7981,2.428,-2.6857,-4.6334,0.39234,2.4109,-1.9552,0.029398,-0.94821,-1.1162,0.077663,-7.8145,2.2437,-2.6115,-4.5975,1.4999,2.6374,1.3136,-2.7691,-0.61492,-2.2264,4.2425,3.901,-0.40123,-2.4749,-1.7092,0.89713,0.47333,3.4283,-0.99504,-2.5353,1.5556,-2.5013,-1.1101,0.63058,-1.2086,-1.1704,-1.6593,-0.089892,-0.25723,-1.1922e-14
"men_HCW011_RPLCneg",13.662,12.43,20.245,-3.861,6.6562,-4.5242,0.67216,-4.7406,1.0077,6.3296,-3.7354,5.9167,0.60857,2.6997,-3.1468,1.4215,0.73948,-3.8251,-0.63946,-0.48901,0.72143,-3.9263,0.97478,0.88765,-1.5491,-3.0319,-1.8531,-3.6828,3.715,5.6037,1.4095,-1.2931,-4.7834,3.4193,-0.55665,1.9773,2.0368,1.397,6.7944,-0.29243,1.4498,-1.9559,-2.3312,-0.12648,-2.2862,2.1642,1.1874,4.643,2.5295,-1.691,-1.676,-1.5063,0.26835,-0.48503,0.5064,0.51654,1.7179,1.3159,8.3406e-15
"men_HCW012_RPLCneg",10.213,-40.092,16.929,2.8535,-6.885,-4.8292,-9.5218,-6.0052,-1.874,4.107,-2.4342,-0.16642,10.875,-1.4671,-4.0068,-3.1276,-2.3792,-8.7047,6.5992,0.32498,1.6787,6.388,-5.8363,7.222,0.86435,3.9001,-5.0491,1.7248,2.638,0.14074,-0.64281,1.8314,1.1365,-1.1223,0.070562,-0.14766,-0.86413,1.31,-1.08,1.4887,-0.94365,-0.82323,-1.2279,0.075642,0.13341,-0.49504,-0.047341,-0.93031,0.24103,0.14117,0.15178,0.54009,1.0214,-0.27037,-0.35218,-0.65526,0.57969,-0.36254,-3.8372e-15
"men_HCW036_RPLCneg",15.399,14.686,3.0951,12.638,-5.4308,5.904,2.6665,1.5319,0.51603,7.4468,1.1619,2.9394,0.47952,1.1619,-4.4751,-1.0245,-1.1144,4.1028,-0.44992,3.6497,-4.1539,-1.6745,-0.34581,-1.5936,-1.1523,1.5469,2.3554,2.3193,-0.93069,0.48178,-2.9676,6.2854,2.8561,4.6093,-0.15955,-0.092167,2.6119,0.863,1.2436,1.0784,-0.045193,1.963,-3.6295,1.5675,-3.5348,-2.6657,-1.1768,-3.1329,-0.75524,3.9039,-5.0061,-0.089862,2.4498,-0.6675,-2.3012,-0.66034,0.93288,-1.2062,1.3885e-14
"men_HCW059_RPLCneg",2.6548,7.6018,8.9415,3.8383,1.5581,-4.954,2.25,-3.6787,2.772,4.3865,-2.6906,0.4144,-5.2102,-6.8032,-3.2644,-3.8952,1.0644,1.4636,1.1068,0.99223,-4.2454,-0.92231,-3.4169,1.9643,2.6525,-3.449,0.83998,-3.5742,-2.308,2.1575,-1.2517,-0.45604,-4.864,4.8171,-0.63977,0.38274,0.34072,2.0936,-4.8398,-1.5096,-1.0426,-3.6933,-2.0083,1.4588,6.6373,0.20352,0.63358,-1.7041,-3.4326,1.5456,0.93374,-1.5419,-0.89001,-0.034379,2.0383,1.5458,-1.7203,-2.5887,4.2327e-15
"men_HCW067_RPLCneg",17.376,12.115,2.9049,18.037,1.0959,-0.59163,-5.042,-1.1153,1.5971,3.9094,-5.9439,4.1629,3.2901,-3.7376,-0.52213,-0.24264,0.92519,-0.72286,0.84877,-2.6241,3.5258,2.3149,6.4251,-5.9035,-3.0246,2.6168,1.7931,-0.97406,-0.13656,5.6472,4.5626,-0.10445,-4.1112,-4.598,6.1661,1.3658,-1.8499,-0.95332,-2.8575,1.5346,2.6259,-0.003228,2.42,1.1899,-1.5759,-2.0154,0.21278,-3.9135,0.081191,0.26025,0.88766,0.4274,-1.3962,-2.1968,-0.43377,2.0532,-0.31667,0.067556,1.416e-14
"men_HCW237_RPLCneg",4.1126,-17.593,7.3521,-7.6931,-7.7546,-7.4343,-0.078274,-2.7531,-1.786,-0.5776,-0.034034,-1.7101,1.5098,-6.9388,4.049,6.3273,-0.89592,-5.5346,-6.1906,3.7451,-6.8587,0.50653,4.1645,-4.7663,5.6603,2.8349,2.4347,3.0629,1.6135,-3.0019,8.0557,0.32206,-2.4382,4.332,-3.4782,-1.0138,2.0241,-1.4678,-2.2794,-2.7714,-0.44339,-0.14598,0.083768,0.31611,-3.8216,-0.19988,-0.89735,-0.40603,0.40543,-1.0255,0.069881,-0.242,-0.07892,1.2669,0.87918,0.25529,-0.43955,-0.39037,-9.1836e-15
"men_HCW282_RPLCneg",12.578,9.1026,3.4166,-2.7523,1.9778,-3.3614,-3.717,1.8173,-0.62545,1.1008,4.1261,1.9229,7.2308,-4.0825,2.9279,7.9381,2.5871,0.983,-1.8081,-0.30258,-0.14269,-0.82845,-0.35144,-2.1816,8.0252,0.043598,-1.1581,1.7588,-3.2884,1.1512,-10.373,-1.932,-1.9892,-1.9922,0.081461,-4.6658,3.0442,-1.3017,-0.17492,0.008751,-1.3938,-1.8112,2.1501,0.26397,-0.44552,-1.8802,4.973,0.65751,0.010227,-0.44679,0.72552,-0.56805,-0.27717,-2.7981,-1.7813,-1.0845,0.5533,0.78146,1.6202e-14
"men_HCW564_RPLCneg",19.392,6.035,2.5972,-12.432,2.617,-1.4558,2.1683,-10.136,-3.2907,-2.1911,3.5791,-0.42921,-2.9367,7.6824,3.1666,-0.58334,-7.9865,-2.6446,0.20807,-0.95179,-0.18945,0.22356,3.9805,-5.3716,-1.4113,0.77363,-2.078,3.2141,-0.20944,1.8234,0.11639,1.4554,2.7117,-1.8386,-0.97267,0.28784,2.1868,1.813,-0.33235,0.68386,-0.75213,-2.7694,-0.11712,-5.7453,4.6742,-3.9619,-0.32674,0.18072,1.7706,2.5707,1.9072,-2.4852,2.2392,1.5794,-1.521,2.4365,-0.055865,-0.23796,7.4211e-15
"men_HCW574_RPLCneg",13.825,12.926,4.7278,3.186,6.5694,4.2259,-2.8676,-7.1246,-3.2231,3.0851,1.1463,3.4257,-1.8151,3.4112,0.74303,2.7568,-0.72218,2.0476,-1.2558,1.535,-3.0869,-1.8643,-0.47897,0.8627,-0.76448,2.2606,0.079662,-0.12405,2.1614,0.77246,0.20974,0.89885,0.37456,0.81642,-1.2571,0.99326,0.15684,-0.7352,-2.7205,0.1729,-0.59103,-3.1631,2.6893,0.096254,2.1008,2.7834,-2.4825,1.2458,-0.074922,-0.24334,0.94872,8.3696,-3.268,1.6989,-3.8402,-3.0284,1.0757,-0.36982,2.2829e-15
"men_HCW578_RPLCneg",28.212,5.6693,3.6173,-8.0721,2.4619,-3.0115,-6.2646,13.348,11.26,0.61785,7.8679,9.4713,4.5753,-5.7939,7.7902,-2.5528,-0.87168,4.5819,-1.1349,-7.8528,-4.9163,5.8169,0.44447,0.1658,0.028148,-3.1683,-0.036538,-0.75823,0.14762,-1.264,1.7848,1.6973,2.2751,-1.005,-2.8423,0.17893,-2.8497,2.8225,0.94764,2.739,1.3276,1.0797,-2.147,1.6908,1.3091,0.01774,-0.64826,1.3796,1.105,-0.22345,0.66727,0.24989,-0.40147,2.1949,0.047885,0.45402,0.14895,-0.17301,3.4482e-15
"woman_HCW002_RPLCneg",0.1162,-9.1287,-7.352,-10.319,8.2881,1.0833,-0.45849,-3.5786,4.1132,-1.6377,-6.1481,-2.5396,-3.6828,-6.9813,-0.9208,-0.70712,1.4125,1.8009,0.49447,-2.1205,0.38337,5.0894,-2.9181,0.83721,0.74382,-2.7456,3.4124,-0.88613,-4.0754,-0.68411,1.6401,3.5652,-0.33574,0.50837,5.3426,-0.94125,-1.5683,1.1803,1.5385,-4.2899,-0.5127,-2.6222,1.9453,-3.2723,-2.7511,3.0094,2.4113,-0.84059,2.4968,5.4292,0.18972,-0.04575,1.5912,2.1925,-1.1122,-2.3688,0.60118,2.1832,-2.1129e-15
"woman_HCW008_RPLCneg",14.2,3.9391,-5.5677,2.3195,-10.043,4.1444,-0.93402,0.15764,-6.6132,1.3379,-12.836,-3.6197,0.29087,-0.89881,-0.5825,-1.1835,-0.71546,7.063,-4.2598,0.2521,-0.1644,-3.4002,-1.9257,1.2577,5.4406,4.6487,-1.263,-4.9992,-0.5693,-3.0181,0.045662,-2.4957,0.73306,-0.7239,0.59342,-0.93235,-2.003,6.8216,1.0494,3.15,1.2822,-0.97705,4.2616,0.068889,0.26535,-1.5445,-0.76861,0.84315,2.1475,-2.6417,-2.1296,-1.1388,1.2535,3.0428,-0.63629,1.034,-0.89439,-0.232,9.3293e-15
"woman_HCW019_RPLCneg",10.027,6.0715,9.6417,-0.64339,-2.8972,-3.1337,-6.0956,-2.0047,-6.6162,3.9247,0.71401,-3.1998,-6.7809,-3.5375,3.824,5.5148,0.085015,1.9398,-1.6173,-0.37497,-1.9922,-3.2333,-1.6964,-0.1227,2.4713,-0.038796,-8.0958,-0.28557,-2.5396,-0.42912,1.8609,2.2155,3.9649,0.97546,5.3933,2.686,-2.1755,-4.6095,5.2162,0.89341,-2.9381,4.2715,-1.7976,-0.87438,2.9767,2.1514,0.24485,-3.5518,-0.84211,-1.1652,0.62711,-0.076646,-1.4922,-0.4491,0.92474,0.58971,-0.28228,1.4724,7.723e-15
"woman_HCW035_RPLCneg",10.324,-47.858,15.688,0.72632,4.9761,31.956,6.6283,8.1105,-6.4681,6.7411,6.5789,-3.4007,-3.8163,-2.8127,-1.3492,2.7521,1.3512,-1.6257,0.36721,-1.8042,0.85344,-0.60543,3.4781,-1.2428,1.2177,-1.7738,1.1902,-1.3151,1.1339,1.5295,-0.36583,-1.5515,-1.4191,-0.92963,-1.402,0.37619,-1.37,0.67768,0.80809,-0.26661,0.071674,-0.068736,-0.093631,-0.48554,1.0814,-0.30476,0.52446,-0.63605,-0.13495,0.056601,0.32045,0.15534,0.31789,0.098661,0.3344,0.097017,-0.21727,0.021554,6.1062e-16
"woman_HCW045_RPLCneg",22.047,6.3546,9.7268,7.6363,0.26219,-4.6382,-6.9252,11.183,-8.0923,-4.1272,-4.9896,4.2773,1.3233,-2.4312,-7.7232,0.58563,5.0397,-1.4962,-1.587,2.3597,6.7528,-2.745,5.0748,4.5313,-1.9641,-3.8602,1.2518,4.9508,-6.4952,-0.93706,2.7239,-3.7324,3.1966,0.11186,-1.7552,1.0874,-0.14582,-1.8688,-1.2817,-1.8458,-1.9706,0.035844,-0.16187,-1.5297,1.4437,-2.1652,-1.6764,2.8715,-1.411,1.1662,-0.53108,-0.9211,0.079788,1.8864,-0.42443,-1.4462,-0.036037,0.52395,2.1008e-15
"woman_HCW080_RPLCneg",17.388,-3.7528,2.2412,-16.618,10.139,4.211,3.4675,-4.6855,9.6048,-0.89677,-6.0118,0.95216,-5.0473,-2.1757,-0.29746,-0.11562,1.0467,1.4036,-1.1225,3.4934,6.0141,3.5962,-3.5986,-0.18008,-4.1105,-0.25847,-4.3522,-2.7427,-1.1203,-4.8621,-2.1663,1.4745,-0.6392,0.97339,-3.5014,1.1804,0.88123,-1.4815,-1.3379,-1.3296,-1.1426,1.6935,0.36348,-1.1017,-3.1791,-6.3931,-0.12672,-0.69925,-0.46358,-2.1833,-1.1369,1.2478,-4.1889,-0.42577,0.81115,1.9103,0.26768,0.63498,-8.6181e-15
"woman_HCW099_RPLCneg",-19.775,7.6388,33.318,-8.5137,-0.0084307,3.493,0.61581,10.231,2.8312,-16.964,-8.8505,-3.2268,-0.57583,4.6733,-1.571,7.8263,-6.4509,1.4026,1.9552,-1.505,-1.5281,2.3784,-2.6243,-0.67864,0.82455,2.7037,4.1537,0.99291,-0.55655,2.8994,-1.2015,1.2703,2.7342,0.040187,1.7224,5.226,1.3692,0.99028,-0.18598,-0.00080878,0.73711,-1.6023,-1.2404,2.1734,-0.34437,0.05154,1.3688,-0.66526,-0.92305,-1.513,0.79792,0.28626,-0.438,-0.088659,0.40062,-0.052151,0.30236,-0.78008,-1.3076e-14
"woman_HCW103_RPLCneg",31.303,13.073,3.5263,-5.0837,-5.2681,6.195,4.7131,-2.1397,9.0037,5.8786,-4.6161,-2.4064,-1.3592,-1.3968,0.62034,-6.3345,-2.1855,0.27191,4.0067,5.2857,-0.42034,-0.94786,0.73313,-0.45983,-3.3657,4.9557,1.1524,6.8892,-0.49085,-1.0983,-1.0183,-2.2382,1.8486,-0.22727,-0.78071,-1.4133,0.25631,-0.69943,0.68335,-3.4687,3.4364,4.0672,2.2163,2.2389,1.5665,4.3425,4.0452,1.5956,-1.6673,-1.5011,2.9568,-0.81677,1.0673,0.69596,0.56873,0.1022,0.97139,-0.056768,-1.2948e-14
"woman_HCW105_RPLCneg",10.223,14.72,7.3813,-7.568,0.13855,-1.2557,-2.3813,-1.5758,-5.3178,5.6259,2.2272,0.23052,-5.7876,2.7708,2.7263,4.2833,-5.5468,-1.1767,1.3815,-2.3407,-0.1004,0.94777,-3.3067,2.4378,-0.16896,-4.0157,-0.94711,0.23376,-1.6898,2.3418,-4.7159,-2.8747,0.26878,-2.9174,-1.5513,-0.54549,-1.644,-1.9811,-4.862,-0.1365,3.1617,0.62254,2.024,-0.98837,-6.2294,4.1139,-5.4765,-1.0017,-1.0351,0.35284,-1.148,-2.0238,1.4204,0.96178,1.9685,0.577,-1.5339,-0.68138,6.5434e-15
"woman_HCW114_RPLCneg",12.438,5.415,-8.7422,-6.9992,-0.194,1.6571,4.5388,-0.35724,3.4267,2.0679,-8.2576,2.0756,-1.3289,-2.4484,1.3476,-5.1895,-1.1256,-1.2658,-2.091,-3.9715,-0.011213,2.1053,3.4663,-1.3356,3.8975,2.0007,3.2087,-0.64076,4.1548,-2.6037,-1.8974,-3.4743,2.1459,-2.9921,3.1389,1.92,1.9344,0.030503,0.053862,-0.18383,-5.6871,-0.034521,-3.5885,-2.809,0.19017,1.1663,-3.397,2.1454,-1.6748,-0.50379,-0.87517,2.2011,2.4036,-4.895,2.458,-2.0089,-0.81827,-0.51735,1.6931e-15
